#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
58,"Ditto","NewJeans",86,134,"k-pop, k-pop girl group","Pop","Ditto",2022-12-19,03:05,81,64,3,0,18,10,10,-6,F#/G♭ Minor,4,2023-01-07,3r8RuvgbX9s7ammBn07D3W,"ADOR",11A,https://p.scdn.co/mp3-preview/4f048713ddfa434539dec7c3cb689f3393353edd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851edf5b257be1d6593e81bb45f
59,"Used To Be Young","Miley Cyrus",73,147,"pop","Pop","Used To Be Young",2023-08-25,03:11,45,63,60,0,46,0,10,-4,E Major,4,2023-08-25,0Nfh4u0J4bajcyp5pzaWCx,"Columbia",12B,https://p.scdn.co/mp3-preview/f2ab70c58e01d79f1a47ceb918a5be16c53745d2?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c7e08e101212a4c94bd35b38
60,"Eyes Closed","Ed Sheeran",28,107,"pop, singer-songwriter pop, uk pop","Pop","Eyes Closed",2023-03-24,03:14,78,53,30,0,39,0,10,-6,D Major,4,2023-03-24,07bsRv0pcpbG4zJeLsUs1p,"Atlantic Records UK",10B,,https://i.scdn.co/image/ab67616d00004851340478dfce149f58e2327334
61,"Anti-Hero","Taylor Swift",92,97,"pop","Pop","Midnights",2022-10-21,03:20,64,64,13,0,53,0,10,-7,E Major,4,2023-01-07,0V3wPSX9ygBnCm8psDIegu,"Taylor Swift",12B,,https://i.scdn.co/image/ab67616d00004851bb54dde68cd23e2a268ae0f5
62,"Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes","Olivia Rodrigo",87,142,"pop","Pop","Can’t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes)",2023-11-03,03:25,52,37,84,0,23,0,10,-8,B Minor,4,2023-11-10,56xHMIfQPoe0prrSi3BGhf,"Olivia Rodrigo",10A,,https://i.scdn.co/image/ab67616d0000485103048c76bec2bdfa92703a5a
63,"un x100to","Grupo Frontera,Bad Bunny",86,83,"musica chihuahuense, reggaeton, trap latino, urbano latino","Latin","un x100to",2023-04-17,03:14,57,72,23,0,56,0,20,-4,F#/G♭ Minor,4,2023-04-22,6pD0ufEQq0xdHSsRbg9LBK,"Rimas Entertainment LLC.",11A,https://p.scdn.co/mp3-preview/15117af933a505dd75ecd33d15f2d4d3e13bdf9a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851716c0b0ad51594ff788b5f06
64,"LALA","Myke Towers",94,92,"reggaeton, trap latino, urbano latino","Latin","LA VIDA ES UNA",2023-03-23,03:17,71,74,7,0,61,0,10,-4,C♯/D♭ Major,4,2023-07-20,7ABLbnD53cQK00mhcaOUVG,"WEA Latina",3B,https://p.scdn.co/mp3-preview/42772b16b4e575d1b15b0ec7f94e335539390d2d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510656d5ce813ca3cc4b677e05
65,"(It Goes Like) Nanana - Edit","Peggy Gou",89,130,"electra, float house","Pop, Electronic","(It Goes Like) Nanana [Edit]",2023-06-15,03:51,67,88,12,19,96,0,0,-6,G Minor,4,2023-08-18,23RoR84KodL5HWvUTneQ1w,"XL Recordings",6A,https://p.scdn.co/mp3-preview/e36e0bd4714844f1f9d992398b41a3e333f15cc9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485188d71aadd009fe1a83df88f2
66,"Rush","Troye Sivan",56,126,"australian pop, pop, viral pop","Pop","Rush",2023-07-13,02:36,74,84,0,0,35,0,10,-8,F Minor,4,2023-07-14,3xIMkM5LgbVDkpO74O3Np3,"EMI Recorded Music Australia Pty Ltd",4A,,https://i.scdn.co/image/ab67616d00004851a4ffb2049ffce92bdae5f559
67,"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap,Peso Pluma",84,133,"argentine hip hop, pop venezolano, trap argentino, trap latino, urbano latino, corridos tumbados, sad sierreno","Hip Hop, Latin","Peso Pluma: Bzrp Music Sessions, Vol. 55",2023-06-01,03:08,85,67,26,0,81,0,10,-8,F Minor,3,2023-06-02,5AqiaZwhmC6dIbgWrD5SzV,"DALE PLAY Records",4A,https://p.scdn.co/mp3-preview/9d61998a29c2e8b52a7d46885352f5507eb219e2?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485115583045b2fdb7d7bab10e81
