#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
12,"Enter Sandman","Metallica",0,123,"hard rock, metal, old school thrash, rock, thrash metal","Rock, Metal","Metallica",1991-08-12,05:31,58,82,0,1,64,0,0,-9,F#/G♭ Minor,4,2021-03-10,1hKdDCpiI9mqz1jVHRKG0E,"Blackened Recordings",11A,,https://i.scdn.co/image/ab67616d00004851f2f3cd931f707244804807c1
13,"Master Of Puppets","Metallica",0,105,"hard rock, metal, old school thrash, rock, thrash metal","Rock, Metal","Master Of Puppets",1986-03-03,08:36,54,87,0,57,59,0,0,-8,E Minor,4,2021-03-10,6NwbeybX6TDtXlpXvnUOZC,"Blackened Recordings",9A,,https://i.scdn.co/image/ab67616d000048516976009675621c80cafa1ff5
14,"Sad But True","Metallica",0,89,"hard rock, metal, old school thrash, rock, thrash metal","Rock, Metal","Metallica",1991-08-12,05:24,63,85,0,0,43,0,0,-6,G Major,4,2021-03-10,5pQYjzkALsgYOcFTC8DMmU,"Blackened Recordings",9B,,https://i.scdn.co/image/ab67616d00004851f2f3cd931f707244804807c1
15,"Ride The Lightning (Remastered)","Metallica",61,149,"hard rock, metal, old school thrash, rock, thrash metal","Rock, Metal","Ride The Lightning (Deluxe Remaster)",1984-07-27,06:36,27,97,0,9,27,10,20,-6,A Major,4,2021-03-10,36DLF96pjKydN0MZtsahQz,"Blackened Recordings",11B,,https://i.scdn.co/image/ab67616d00004851533fd0b248052d04e6b732c0
16,"For Whom The Bell Tolls (Remastered)","Metallica",73,118,"hard rock, metal, old school thrash, rock, thrash metal","Rock, Metal","Ride The Lightning (Deluxe Remaster)",1984-07-27,05:09,51,86,1,1,26,0,0,-6,C Major,4,2021-03-10,51YZAJhOwIC5Gg3jMbAmhZ,"Blackened Recordings",8B,,https://i.scdn.co/image/ab67616d00004851533fd0b248052d04e6b732c0
17,"Holy Wars...The Punishment Due - 2004 Remix","Megadeth",71,125,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal","Metal, Rock","Rust In Peace (2004 Remix / Expanded Edition)",1990-10-04,06:32,33,99,0,11,22,10,30,-4,B Major,4,2021-03-10,5LyRtsQLhcXmy50VXhQXXS,"Capitol Records",1B,,https://i.scdn.co/image/ab67616d00004851be9fa5a89479b6af481938a0
18,"Peace Sells - Remastered","Megadeth",67,138,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal","Metal, Rock","Peace Sells...But Who's Buying (Deluxe Edition - Remastered)",1986-00-00,04:04,32,93,0,82,38,10,10,-4,E Minor,4,2021-03-10,5a2hIQWInPjqkkFiUEgxoX,"Capitol Records",9A,,https://i.scdn.co/image/ab67616d000048510f783e735d0f43f071109a90
19,"Sweating Bullets - Remastered 2004","Megadeth",64,70,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal","Metal, Rock","Countdown To Extinction (Expanded Edition - Remastered)",1992-07-14,05:27,33,86,0,1,65,10,20,-7,E Minor,3,2021-03-10,6i7IXg8j7ZngiEOgBYjkhw,"Capitol Records",9A,,https://i.scdn.co/image/ab67616d000048517b178f928742be1492c6fba2
20,"Public Enemy No. 1","Megadeth",21,158,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal","Metal, Rock","Th1rt3en",2011-10-26,04:15,42,98,0,1,33,10,0,-3,G Major,4,2021-03-10,0bpeXTCwvkZad3GRtFSIOT,"Echo",9B,,https://i.scdn.co/image/ab67616d00004851dbbbe6600a179a3bc4f696f4
21,"Walk","Pantera",77,118,"alternative metal, groove metal, hard rock, metal, nu metal, old school thrash, rock, texas metal","Metal, Rock","Vulgar Display of Power",1992-02-21,05:15,43,70,0,0,70,0,0,-8,C♯/D♭ Minor,4,2021-03-10,7fcfNW0XxTWlwVlftzfDOR,"Atlantic Records",12A,https://p.scdn.co/mp3-preview/4d003a5b7df1dc79fb42d88a6993066729f07be9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851347c0a40c1e3f0c890a6d9d6
22,"5 Minutes Alone","Pantera",64,95,"alternative metal, groove metal, hard rock, metal, nu metal, old school thrash, rock, texas metal","Metal, Rock","Far Beyond Driven",1994-00-00,05:47,50,86,0,36,59,0,10,-6,G Major,4,2021-03-10,5SAEMjVQbmin3g7b0RG6me,"Rhino/Elektra",9B,https://p.scdn.co/mp3-preview/6a596419b2ffab172be4bfa6de07650216fbd3f1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485164fa027e7ef7ce20fa8b46f2
23,"Raining Blood","Slayer",0,88,"alternative metal, death metal, groove metal, hard rock, metal, old school thrash, rock, speed metal, thrash metal","Metal, Rock","Reign In Blood (Expanded)",1986-01-01,04:15,30,100,0,30,4,10,10,-4,C♯/D♭ Minor,4,2021-03-10,4Yx9Tw9dTgQ8eGCq3PRDyn,"Universal Music Group",12A,,https://i.scdn.co/image/ab67616d000048512482a9bb1717fa223be8083f
24,"Angel Of Death","Slayer",0,105,"alternative metal, death metal, groove metal, hard rock, metal, old school thrash, rock, speed metal, thrash metal","Metal, Rock","Reign In Blood (Expanded)",1986-01-01,04:51,32,99,0,35,8,10,0,-4,C♯/D♭ Minor,4,2021-03-10,5AdoS3gS47x40nBNlNmPQ8,"Universal Music Group",12A,,https://i.scdn.co/image/ab67616d000048512482a9bb1717fa223be8083f
25,"South Of Heaven","Slayer",0,139,"alternative metal, death metal, groove metal, hard rock, metal, old school thrash, rock, speed metal, thrash metal","Metal, Rock","South Of Heaven",1988-01-01,04:58,31,99,0,7,4,30,10,-4,F Minor,4,2021-03-10,1HNFInFeXqddmDRqvlelGQ,"Universal Music Group",4A,,https://i.scdn.co/image/ab67616d00004851a25ebc4b4991da69520f07cd
26,"Black Magic","Slayer",56,94,"alternative metal, death metal, groove metal, hard rock, metal, old school thrash, rock, speed metal, thrash metal","Metal, Rock","Show No Mercy",1983-12-03,04:03,15,91,0,61,7,10,0,-7,A Major,4,2021-03-10,4cJhBmeJ7KiBeuy7oxRnZ3,"Metal Blade Records",11B,https://p.scdn.co/mp3-preview/1c530f4d89071d9d1ab2a7b7501d9763a75582bd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485109f13998cfda5cdaf484f051
27,"Caught In A Mosh","Anthrax",0,107,"alternative metal, glam metal, groove metal, hard rock, metal, nu metal, old school thrash, rap metal, rock, speed metal, thrash metal","Metal, Rock","Among The Living",1987-03,05:00,37,96,0,0,13,0,10,-12,G Major,4,2021-03-10,6AlUhxZG6lcSBJlFEG2Mgp,"Universal Music Group",9B,,https://i.scdn.co/image/ab67616d000048518f31cb755f156a4460613e19
