#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,Spotify Track Img,Song Preview,
42,Duvet,bôa,0,93,pov: indie,Pop,Twilight,2001-00-00,3:23,58,89,19,0,67,0,0,-9,B Minor,4,8/17/2021,7urtwZEtOypb3r8HNi42dT,Boa Recordings,10A,,https://i.scdn.co/image/ab67616d00004851ec743375ac494655ed0db2fb,
43,My Heart Is Buried in Venice,Ricky Montgomery,66,112,"la indie, pop, pov: indie",Pop,Montgomery Ricky,4/8/2016,3:04,67,41,44,0,14,0,0,-8,B Major,3,9/8/2021,02H1K5Cw9Ar89b35XwSEw6,Warner Records,1B,https://p.scdn.co/mp3-preview/e1bf63b683670cb90e43f46303df57371b316443?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485167ee332af483acd134fd6fd0,
44,Somniphobia,"Afourteen,TEENAGE DISASTER",54,95,"necrotrap, ",Hip Hop,Somniphobia,11/28/2019,6:02,46,51,4,0,41,0,0,-8,C Major,4,3/12/2022,5SXM4OsHpWqgNUfvZRI2m6,1248705 Records DK,8B,https://p.scdn.co/mp3-preview/7370bf3d6a6172c139b3fd651bf58dba3e92fad6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ec82dd650511bfacaef8a5e0,
45,Young,Vacations,84,80,"newcastle nsw indie, pov: indie",Pop,Vibes,2016-00-00,3:09,50,81,0,1,59,0,0,-4,G Major,4,4/30/2022,1KIJclzEbNhSVw8tiHPWwE,Nettwerk Music Group,9B,https://p.scdn.co/mp3-preview/1cb18b3de395a6137647ca13bbef2ef83a2d69e2?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519c93931e7cfa4d8216056795,
46,Chamber Of Reflection,Mac DeMarco,84,131,"edmonton indie, lo-fi indie, pov: indie","Folk/Acoustic, Rock, Pop",Salad Days,4/1/2014,3:51,54,56,26,91,51,0,10,-9,B Major,4,11/11/2022,7H7NyZ3G075GqPx2evsfeb,Captured Tracks,1B,https://p.scdn.co/mp3-preview/17a0b215c5cab8a53047fd6aa5c5dd54507efaec?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ec6e9c13eeed14eedbd5f7c9,
47,Revenge,XXXTENTACION,88,140,"emo rap, miami hip hop, rap",Hip Hop,17,8/25/2017,2:00,75,25,78,0,18,20,10,-16,B Minor,4,12/23/2022,5TXDeTFVRVY7Cvt0Dw4vWW,Bad Vibes Forever / EMPIRE,10A,https://p.scdn.co/mp3-preview/8f5fe8bb510463b2da20325c8600200bf2984d83?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851203c89bd4391468eea4cc3f5,
48,Jungle,Tash Sultana,2,146,australian reggae fusion,Folk/Acoustic,Notion,3/1/2017,5:15,59,70,28,0,50,0,0,-6,C♯/D♭ Minor,4,1/3/2023,6t1ahr2f1t9iSjjNFwFb4C,Lonely Lands Records,12A,,https://i.scdn.co/image/ab67616d00004851aab3ca4ee8519fe68dc8427d,
49,Deep In Yr Mind,James Wyatt Crosby,50,75,modern dream pop,Pop,Twins,9/15/2017,5:55,70,45,5,43,35,0,20,-8,C♯/D♭ Minor,4,4/2/2023,1TyNrpLTp6ws3x2FmtpWi8,Maisonneuve Music,12A,https://p.scdn.co/mp3-preview/5e9b8bf7293b3877b95d888db8be090592bde87b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e00bcae7702ca11478eeeea3,
50,Telephones,Vacations,84,75,"newcastle nsw indie, pov: indie",Pop,Changes,2018-00-00,3:32,53,45,0,3,18,0,10,-9,D Major,4,4/5/2023,0JIMT9gzLIIz0esKLyjbKf,Nettwerk Music Group,10B,https://p.scdn.co/mp3-preview/7ea842ef0f660e24bb4ac29af5c2b03e75f9d449?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513dd6e8bbc5b1ac43fd8a838c,
51,Looking Out for You,Joy Again,81,101,pov: indie,Pop,Looking Out for You,1/15/2016,2:59,68,90,9,6,94,0,0,-5,A Major,4,4/28/2023,3jfZ9M23l0L7RxzYMTgBTv,Arista Records,11B,https://p.scdn.co/mp3-preview/b947a700c7342ba841b194bb4c89534836566012?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515448a3dfe8528453a3686fd6,
52,Especially Me,Low,38,68,"chamber pop, dream pop, duluth indie, melancholia, shoegaze, slowcore","Pop, Folk/Acoustic, Rock",C'mon,4/12/2011,5:28,18,48,71,41,19,0,10,-11,A Minor,4,8/23/2023,3GdUjun14pwsmJrTVEIO8b,Sub Pop Records,8A,https://p.scdn.co/mp3-preview/5b2db64e9ad47d313ef41899256928e60133d42d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ef926caa966b7a6345041cdc,
53,Again,"Shiloh Dynasty,Timmies",72,75,"lo-fi chill, sad lo-fi","Pop, Electronic",Vivid Pictures,3/13/2018,2:37,60,20,48,7,71,10,60,-13,G Minor,5,9/14/2023,5e2l2ZAMwHmrkdM4Z6NhAR,Create Capital,6A,https://p.scdn.co/mp3-preview/f6798c039ad7c0f760fbd4bc2a6f6a39e8847d64?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a96efbf231ca824132bfd2fc,
54,Romantic Homicide,d4vd,59,132,bedroom pop,Pop,Petals to Thorns,5/26/2023,2:12,56,51,46,2,21,0,20,-11,F#/G♭ Major,4,10/9/2023,0SCLsDJtC7DmOwks1tsszt,Darkroom/Interscope Records,2B,,https://i.scdn.co/image/ab67616d0000485164fa1bda999f4fbd2b7c4bb7,
55,My Love Mine All Mine,Mitski,99,114,"brooklyn indie, pov: indie","Rock, Pop",The Land Is Inhospitable and So Are We,9/15/2023,2:17,50,31,87,14,12,0,10,-15,A Major,4,10/22/2023,3vkCueOmm7xQDoJ17W1Pm3,Dead Oceans,11B,https://p.scdn.co/mp3-preview/2f90c9a6a2b6e38554d3bc3cf7512c2c70ac67b9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485134f21d3047d85440dfa37f10,
56,someday i'll get it,Alek Olsen,73,103,,,someday i'll get it,10/26/2023,1:34,44,5,93,92,10,0,10,-22,G#/A♭ Major,3,1/4/2024,1lb0KfG9EyfSBsEifTUtXY,Alek Olsen,4B,https://p.scdn.co/mp3-preview/9fa9dc606c2779fb1b4930f0b1c0b382e586726a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c36989c8cfabf6cd9d5acfd0,
